iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
98,-219.77,587.5,0.17,47.5,0.0001,57.3332,-0.4943,0.0033,0.009,62
99,-234.33,592.5,0.10,51.0,-0.0009,122.8195,-0.5237,0.0051,0.013,89
100,-172.15,583.3,0.21,36.5,-0.0005,5.9499,-0.5173,0.0043,0.015,113
101,-152.51,548.3,0.22,50.8,0.0001,27.9641,-0.5320,0.0059,0.026,171
102,-172.41,557.7,0.18,51.6,-0.0011,83.4874,-0.5340,0.0051,0.014,196
103,-162.57,562.8,0.16,46.9,-0.0008,12.9965,-0.5316,0.0038,0.013,220
104,-153.78,566.8,0.14,42.8,-0.0014,6.3766,-0.5144,0.0076,0.029,244
105,-146.33,570.9,0.12,39.2,-0.0000,14.2017,-0.5465,0.0063,0.027,268
106,-139.58,573.4,0.11,36.4,-0.0017,3.5350,-0.5139,0.0036,0.020,293
107,-129.58,576.1,0.10,32.8,0.0009,0.2406,-0.5194,0.0114,0.063,317
108,-122.09,576.0,0.12,30.4,-0.0015,3.1093,-0.5591,0.0076,0.038,339
109,-126.48,578.1,0.11,30.8,-0.0005,68.1198,-0.6086,0.0066,0.032,363
110,-129.98,579.4,0.10,31.1,-0.0004,59.3692,-0.5731,0.0025,0.009,387
111,-123.74,569.3,0.13,30.4,-0.0006,11.5164,-0.5714,0.0033,0.017,442
112,-137.97,571.5,0.12,33.4,-0.0002,135.3032,-0.5627,0.0030,0.011,465
113,-133.53,572.9,0.12,31.8,-0.0019,2.1100,-0.5396,0.0057,0.029,490
114,-143.13,600.0,0.00,24.7,-0.0015,34.1626,-0.5602,0.0075,0.036,31
115,-100.02,600.0,0.00,13.8,-0.0011,2.4176,-0.5058,0.0056,0.028,54
116,-111.57,599.7,0.10,18.6,-0.0007,54.2066,-0.5336,0.0030,0.017,80
117,-94.65,599.8,0.08,14.3,-0.0000,10.6238,-0.5121,0.0057,0.025,105
118,-85.26,582.2,0.18,13.5,-0.0004,49.0366,-0.5498,0.0015,0.007,129
119,-84.34,574.4,0.24,13.8,0.0002,6.1616,-0.5475,0.0053,0.030,154
120,-72.68,559.2,0.28,11.6,0.0001,5.6071,-0.5311,0.0105,0.060,179
121,-68.19,549.0,0.28,14.9,-0.0010,5.0029,-0.5407,0.0068,0.038,239
122,-89.06,555.1,0.27,19.4,-0.0001,63.9420,-0.5596,0.0043,0.020,263
123,-85.15,558.8,0.25,17.9,-0.0026,0.3100,-0.5549,0.0069,0.046,288
124,-92.85,558.9,0.25,19.3,-0.0005,34.3825,-0.5560,0.0038,0.009,314
125,-100.58,561.8,0.23,21.1,-0.0012,48.3686,-0.5568,0.0026,0.012,339
126,-97.99,565.0,0.21,19.9,-0.0008,7.3094,-0.5382,0.0037,0.018,366
127,-93.37,563.4,0.22,18.7,-0.0022,3.3115,-0.5673,0.0077,0.055,394
128,-87.63,561.1,0.24,17.3,-0.0004,6.0874,-0.5825,0.0028,0.010,408
129,-105.41,563.8,0.22,21.2,-0.0011,236.9070,-0.6003,0.0025,0.010,418
130,-108.23,565.6,0.21,21.7,-0.0020,49.8927,-0.6053,0.0054,0.024,441
131,-107.25,563.3,0.20,22.8,-0.0008,6.0243,-0.6080,0.0047,0.014,498
