iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
117,-233.90,567.5,0.22,61.2,-0.0016,0.2381,-0.4132,0.0042,0.011,338
118,-226.30,566.6,0.23,59.1,-0.0003,6.0997,-0.4250,0.0081,0.036,348
119,-226.58,567.5,0.23,58.9,0.0010,93.6149,-0.4596,0.0172,0.095,358
120,-234.15,568.3,0.22,60.3,0.0006,186.0688,-0.4375,0.0064,0.022,368
121,-183.21,600.0,0.00,38.0,-0.0015,66.1418,-0.4605,0.0087,0.048,15
122,-165.87,600.0,0.00,32.0,-0.0000,7.7541,-0.4409,0.0054,0.032,25
123,-172.92,584.7,0.10,34.4,0.0003,82.0458,-0.4619,0.0037,0.011,41
124,-133.70,584.4,0.14,25.1,-0.0014,4.1439,-0.4493,0.0054,0.029,51
125,-116.83,587.2,0.12,20.6,-0.0003,27.6839,-0.4467,0.0041,0.017,61
126,-116.08,589.1,0.10,20.6,-0.0025,0.3866,-0.4500,0.0076,0.036,70
127,-115.92,590.9,0.08,20.2,-0.0011,18.4474,-0.4494,0.0011,0.005,79
128,-105.65,591.0,0.11,17.9,-0.0002,2.9973,-0.4497,0.0027,0.010,89
129,-103.95,591.5,0.13,17.4,0.0002,12.4858,-0.4382,0.0075,0.041,99
130,-100.28,592.3,0.12,16.4,-0.0005,8.2123,-0.4591,0.0012,0.001,108
131,-101.97,586.3,0.11,22.2,-0.0003,21.3671,-0.4489,0.0045,0.021,132
132,-112.40,587.3,0.10,24.2,-0.0014,72.4341,-0.4569,0.0025,0.005,141
133,-107.40,588.5,0.09,22.3,-0.0017,0.1692,-0.4477,0.0086,0.049,151
134,-104.42,589.2,0.08,21.1,-0.0024,1.9006,-0.4586,0.0063,0.030,160
135,-103.71,590.0,0.08,20.5,-0.0012,17.2151,-0.4761,0.0052,0.026,169
136,-101.55,590.6,0.07,19.7,-0.0017,5.2284,-0.4490,0.0064,0.034,179
137,-98.56,591.1,0.07,18.7,-0.0008,0.1124,-0.4729,0.0030,0.013,188
138,-94.59,591.6,0.06,17.5,-0.0052,0.1260,-0.5100,0.0137,0.090,197
139,-91.79,592.0,0.06,16.7,0.0014,31.6381,-0.5246,0.0149,0.090,207
140,-98.79,592.5,0.06,18.1,0.0016,50.9688,-0.5071,0.0150,0.094,216
141,-95.19,585.8,0.05,19.6,-0.0018,0.4267,-0.5248,0.0039,0.012,238
142,-96.75,586.3,0.05,19.7,-0.0013,18.8205,-0.5290,0.0069,0.033,249
143,-94.00,587.0,0.05,18.8,-0.0023,0.1855,-0.5589,0.0035,0.025,258
144,-93.96,587.5,0.05,18.6,0.0018,5.4081,-0.5589,0.0086,0.055,267
145,-92.58,588.1,0.05,18.1,-0.0006,5.2428,-0.5722,0.0042,0.015,277
146,-90.75,588.5,0.04,17.5,-0.0015,0.1176,-0.5618,0.0090,0.057,286
147,-89.03,588.8,0.04,16.9,-0.0030,0.1158,-0.5953,0.0120,0.060,295
148,-86.33,589.0,0.05,16.3,-0.0028,3.1048,-0.6210,0.0199,0.138,305
149,-85.53,589.3,0.05,16.0,0.0025,45.1787,-0.6366,0.0138,0.093,315
150,-93.74,589.7,0.05,17.9,0.0026,76.7054,-0.6037,0.0148,0.103,324
151,-92.35,585.6,0.05,18.9,-0.0013,2.5556,-0.5994,0.0062,0.028,347
152,-96.59,586.0,0.05,20.0,0.0005,55.0879,-0.6031,0.0066,0.037,356
153,-94.10,585.2,0.05,19.3,0.0002,2.8295,-0.5885,0.0079,0.046,366
154,-92.32,584.8,0.06,18.8,-0.0015,5.5079,-0.5933,0.0053,0.031,375
155,-91.05,585.2,0.06,18.4,-0.0010,0.7616,-0.6031,0.0046,0.017,385
156,-89.74,585.6,0.06,17.9,-0.0034,0.1210,-0.6077,0.0110,0.054,394
157,-88.00,586.0,0.05,17.4,-0.0006,0.1508,-0.6538,0.0081,0.041,403
158,-86.41,586.3,0.06,17.0,-0.0009,2.8060,-0.6598,0.0126,0.071,412
159,-90.02,586.5,0.07,17.9,-0.0004,104.6877,-0.6923,0.0021,0.009,423
160,-90.78,586.8,0.06,18.0,-0.0006,30.5816,-0.6398,0.0025,0.002,441
161,-13.91,564.3,0.33,0.0,-0.0007,2.9117,-0.6554,0.0078,0.037,14
162,-27.20,577.9,0.29,2.1,-0.0016,5.3725,-0.6506,0.0038,0.015,23
163,-237.64,584.5,0.20,53.2,-0.0012,460.7712,-0.6780,0.0044,0.012,33
164,-180.80,564.6,0.29,40.6,-0.0008,19.6513,-0.6816,0.0069,0.027,43
165,-144.88,562.1,0.28,31.6,-0.0002,2.7754,-0.6877,0.0045,0.016,53
166,-129.39,565.8,0.29,27.7,-0.0000,4.2681,-0.6943,0.0085,0.047,63
167,-135.05,571.3,0.24,28.3,-0.0015,43.9894,-0.6673,0.0060,0.021,74
168,-136.77,574.4,0.21,28.3,-0.0013,22.9113,-0.6611,0.0056,0.025,84
169,-128.66,576.8,0.19,25.8,-0.0010,7.9862,-0.6537,0.0031,0.011,94
170,-121.08,579.5,0.17,23.6,-0.0006,1.4321,-0.6619,0.0065,0.035,104
171,-110.67,567.8,0.18,24.7,-0.0017,2.7225,-0.6348,0.0073,0.042,128
172,-114.00,566.9,0.19,25.2,-0.0011,53.5020,-0.6213,0.0049,0.024,138
173,-110.27,569.0,0.17,23.8,-0.0007,2.0111,-0.5651,0.0045,0.017,148
